#index	label	wavelength	comment
260	Co21            0 		net cooling due to database species
261	Co22            0 		net cooling due to database species
262	Co23            0 		net cooling due to database species
263	Co24            0 		net cooling due to database species
264	Co25            0 		net cooling due to database species
265	Cr13            0 		net cooling due to database species
266	Cr14            0 		net cooling due to database species
267	Cr16            0 		net cooling due to database species
268	Cr17            0 		net cooling due to database species
269	Cr18            0 		net cooling due to database species
270	Cr19            0 		net cooling due to database species
271	Cr20            0 		net cooling due to database species
272	Cr21            0 		net cooling due to database species
273	Cr22            0 		net cooling due to database species
274	Cr 7            0 		net cooling due to database species
275	Cr 8            0 		net cooling due to database species
276	Cr 9            0 		net cooling due to database species
277	Fe10            0 		net cooling due to database species
278	Fe11            0 		net cooling due to database species
279	Fe12            0 		net cooling due to database species
280	Fe13            0 		net cooling due to database species
281	Fe14            0 		net cooling due to database species
282	Fe15            0 		net cooling due to database species
283	Fe16            0 		net cooling due to database species
284	Fe17            0 		net cooling due to database species
285	Fe18            0 		net cooling due to database species
286	Fe19            0 		net cooling due to database species
287	Fe20            0 		net cooling due to database species
288	Fe21            0 		net cooling due to database species
289	Fe22            0 		net cooling due to database species
290	Fe23            0 		net cooling due to database species
291	Fe24            0 		net cooling due to database species
292	Fe 4            0 		net cooling due to database species
293	Fe 5            0 		net cooling due to database species
294	Fe 6            0 		net cooling due to database species
295	Fe 8            0 		net cooling due to database species
296	Fe 9            0 		net cooling due to database species
297	K 11            0 		net cooling due to database species
298	K 12            0 		net cooling due to database species
299	K 13            0 		net cooling due to database species
300	K 14            0 		net cooling due to database species
301	K 15            0 		net cooling due to database species
302	K 16            0 		net cooling due to database species
303	K 17            0 		net cooling due to database species
304	K  5            0 		net cooling due to database species
305	K  6            0 		net cooling due to database species
306	K  9            0 		net cooling due to database species
307	Mg 2            0 		net cooling due to database species
308	Mg 4            0 		net cooling due to database species
309	Mg 5            0 		net cooling due to database species
310	Mg 6            0 		net cooling due to database species
311	Mg 7            0 		net cooling due to database species
312	Mg 8            0 		net cooling due to database species
313	Mg 9            0 		net cooling due to database species
314	Mg10            0 		net cooling due to database species
315	Mn10            0 		net cooling due to database species
316	Mn15            0 		net cooling due to database species
317	Mn17            0 		net cooling due to database species
318	Mn18            0 		net cooling due to database species
319	Mn19            0 		net cooling due to database species
320	Mn20            0 		net cooling due to database species
321	Mn21            0 		net cooling due to database species
322	Mn22            0 		net cooling due to database species
323	Mn23            0 		net cooling due to database species
324	Mn 8            0 		net cooling due to database species
325	Mn 9            0 		net cooling due to database species
326	N  2            0 		net cooling due to database species
327	N  3            0 		net cooling due to database species
328	N  4            0 		net cooling due to database species
329	Na 3            0 		net cooling due to database species
330	Na 4            0 		net cooling due to database species
331	Na 5            0 		net cooling due to database species
332	Na 6            0 		net cooling due to database species
333	Na 7            0 		net cooling due to database species
334	Na 8            0 		net cooling due to database species
335	Na 9            0 		net cooling due to database species
336	Ne 3            0 		net cooling due to database species
337	Ne 4            0 		net cooling due to database species
338	Ne 5            0 		net cooling due to database species
339	Ne 6            0 		net cooling due to database species
340	Ne 7            0 		net cooling due to database species
341	Ne 8            0 		net cooling due to database species
342	Ni11            0 		net cooling due to database species
343	Ni12            0 		net cooling due to database species
344	Ni13            0 		net cooling due to database species
